Hour,Occurrence Day Of Week,Incidents,Area Unit,Date,Number of Victimisations,Latitude,Longitude,Severity Score
5:00 am,Thu,Burglary,Millhouse,2022-12-01,1,-36.92537089,174.9155735,6.372265856470259
1:00 am,Thu,Burglary,Leabank,2022-12-01,1,-37.03395388,174.896876,6.420853220135679
5:00 pm,Thu,Theft,Henderson North,2022-12-01,1,-36.88416018,174.6444192,1.388698909323364
7:00 pm,Thu,Theft,Target Road,2022-12-01,1,-36.76748455,174.7385259,1.2915241819925227
2:00 pm,Thu,Battery,Weymouth East,2022-12-01,1,-37.03902937,174.8703899,6.760964765793623
3:00 am,Thu,Burglary,Takanini West,2022-12-01,1,-37.04379974,174.9076591,6.652145260746056
10:00 am,Thu,Burglary,New Lynn South,2022-12-01,1,-36.90547578,174.6704215,6.615202674797361
5:00 pm,Thu,Burglary,Homai East,2022-12-01,1,-37.01562165,174.8759536,6.760964765793623
1:00 pm,Thu,Theft,Takanini West,2022-12-01,1,-37.0458735,174.9209287,1.6685783135991612
12:00 pm,Thu,Burglary,Homai West,2022-12-01,1,-37.01910397,174.8780218,6.809552129459043
3:00 pm,Thu,Theft,Papakura North,2022-12-01,1,-37.06004693,174.9416347,1.388698909323364
9:00 pm,Thu,Battery,Waima,2022-12-01,1,-36.9450364,174.628246,6.51802794746652
4:00 am,Thu,Battery,Grafton East,2022-12-01,1,-36.85906957,174.7702502,6.372265856470259
11:00 am,Thu,Burglary,Onehunga South West,2022-12-01,1,-36.91760282,174.7751443,6.663790038462781
6:00 pm,Thu,Theft,Millhouse,2022-12-01,1,-36.91523741,174.9229611,1.2915241819925227
1:00 pm,Thu,Theft,Hatfields Beach,2022-12-01,1,-36.57451595,174.68793,1.388698909323364
3:00 pm,Thu,Theft,Silverdale South,2022-12-01,1,-36.63537335,174.7019225,1.388698909323364
11:00 am,Thu,Theft,Newmarket,2022-12-01,1,-36.86801922,174.7744191,1.57140358626832
12:00 pm,Thu,Theft,Epsom North,2022-12-01,1,-36.8726555,174.7756962,1.4372862729887843
4:00 pm,Thu,Theft,North Harbour East,2022-12-01,1,-36.75108041,174.6999327,1.388698909323364
4:00 pm,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84828715,174.7644706,3.9076135478055383
6:00 am,Thu,Battery,Clendon South,2022-12-01,1,-37.03007722,174.8655385,6.372265856470259
1:00 pm,Thu,Theft,Takanini South,2022-12-01,1,-37.04898689,174.9294623,1.6685783135991612
5:00 am,Thu,Burglary,Donegal Park,2022-12-01,1,-36.98005935,174.9040529,6.372265856470259
9:00 pm,Thu,Theft,Rowandale,2022-12-01,1,-37.02615747,174.8703537,1.1457620909962616
1:00 pm,Thu,Theft,Henderson South,2022-12-01,2,-36.88250124,174.6319525,1.9484577178749585
11:00 am,Thu,Theft,Henderson South,2022-12-01,1,-36.88250124,174.6319525,1.8512829905441173
11:00 am,Thu,Theft,One Tree Hill Central,2022-12-01,1,-36.89042175,174.7832928,1.2915241819925227
10:00 am,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84716543,174.7648967,3.7618514568092767
10:00 pm,Thu,Theft,Te Atatu Central,2022-12-01,1,-36.84302455,174.6544034,1.097174727330841
6:00 pm,Thu,Theft,Ellerslie South,2022-12-01,1,-36.89642477,174.8027213,1.2915241819925227
2:00 pm,Thu,Burglary,Half Moon Bay,2022-12-01,1,-36.88670788,174.8955362,6.760964765793623
11:00 am,Thu,Theft,Point Chevalier East,2022-12-01,1,-36.86854132,174.7123863,1.57140358626832
9:00 pm,Thu,Burglary,Glen Eden East,2022-12-01,1,-36.90436058,174.6569524,6.51802794746652
10:00 pm,Thu,Theft,Remuera South,2022-12-01,1,-36.88966493,174.7940333,1.097174727330841
6:00 pm,Thu,Burglary,Glen Innes West,2022-12-01,1,-36.87114047,174.8566297,6.663790038462781
9:00 am,Thu,Theft,Mangere Bridge,2022-12-01,1,-36.95211019,174.7923311,1.1457620909962616
8:00 pm,Thu,Theft,Remuera South,2022-12-01,1,-36.88966493,174.7940333,1.194349454661682
