Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
11,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,11,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Tue,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,10,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Tue,Sexual Assault and Related Offences,781200.0,Aggravated Sexual Assault,Manukau Central.,10,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
11,Tue,Sexual Assault and Related Offences,781200.0,Aggravated Sexual Assault,Manukau Central.,11,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
19,Fri,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,19,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
15,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,15,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
15,Wed,Theft and Related Offences,781200.0,Illegal Use of a Motor Vehicle,Manukau Central.,15,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
16,Wed,Theft and Related Offences,781200.0,Theft of Motor Vehicle Parts or Contents,Manukau Central.,16,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
0,Fri,Theft and Related Offences,781200.0,Theft of Motor Vehicle Parts or Contents,Manukau Central.,0,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Sun,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
13,Sun,Theft and Related Offences,781200.0,Theft From Retail Premises,Manukau Central.,13,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Mon,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Tue,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,10,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
8,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,8,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
14,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,14,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
12,Thu,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,12,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
12,Mon,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,12,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
14,Mon,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,14,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
6,Mon,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,6,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
15,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",781200.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Manukau Central.,15,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
